,Players,Agents Played,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths,Cluthes Won,Clutches Played
37,Mixwell TH,Breach Kayo,42,1.08,223.0,0.88,0.79,137.5,0.71,0.62,0.07,0.05,0.25,0.33,16,30,34,26,3,2,1,3
38,TS GEN,Astra Brimstone,48,1.08,193.0,1.16,0.75,116.1,0.77,0.5,0.08,0.13,0.13,,27,37,32,24,4,6,0,5
39,dgzin FUR,Neon Jett,76,1.07,233.3,1.21,0.71,146.2,0.84,0.18,0.21,0.17,0.26,0.13,27,64,53,14,16,13,1,8
40,Tacolilla LEV,Jett Raze,125,1.07,222.8,1.05,0.68,136.9,0.73,0.18,0.18,0.18,0.15,0.33,22,91,87,23,23,22,3,9
41,ceNder VIT,Cypher Killjoy,104,1.07,233.8,1.16,0.7,150.9,0.82,0.18,0.09,0.09,0.29,0.2,24,85,73,19,9,9,4,20
42,BcJ EG,Astra Omen,89,1.06,192.3,0.93,0.78,123.0,0.63,0.56,0.04,0.13,0.16,0.17,17,56,60,50,4,12,2,12
43,JessieVash TS,Sova Fade,79,1.06,258.0,1.06,0.75,170.1,0.9,0.32,0.11,0.13,0.31,0.1,21,71,67,25,9,10,1,10
44,invy TS,Kayo Breach Killjoy,79,1.06,200.5,1.0,0.75,127.2,0.73,0.38,0.04,0.1,0.24,0.33,21,58,58,30,3,8,4,12
45,Boaster FNC,Astra Omen Brimstone,307,1.05,188.3,0.96,0.78,111.8,0.64,0.41,0.1,0.12,0.19,0.25,20,196,204,125,31,38,4,16
46,garnetS TLN,Raze Neon Jett,157,1.05,230.0,1.09,0.71,152.2,0.82,0.15,0.19,0.11,0.24,0.22,21,128,117,24,30,17,2,9
47,MOJJ FUT,Killjoy Viper,107,1.05,206.8,1.0,0.67,138.1,0.69,0.25,0.09,0.09,0.26,0.19,20,74,74,27,10,10,3,16
48,cauanzin LOUD,Skye Breach,380,1.05,207.1,1.01,0.73,130.8,0.74,0.43,0.09,0.08,0.23,0.23,25,280,276,163,35,30,6,26
49,YuChEn FPX,Viper,59,1.05,189.3,0.95,0.76,125.4,0.68,0.34,0.05,0.12,0.34,,18,40,42,20,3,7,0,10
50,BuZz DRX,Jett Raze Killjoy,276,1.04,238.1,1.13,0.73,147.9,0.82,0.2,0.2,0.17,0.2,0.15,21,227,201,56,55,47,3,20
51,jawgemo EG,Jett Raze,89,1.03,220.5,1.08,0.72,140.8,0.79,0.19,0.21,0.15,0.19,0.6,20,70,65,17,19,13,3,5
52,SUYGETSU NAVI,Cypher Killjoy Viper,182,1.03,198.2,1.12,0.74,135.5,0.69,0.26,0.09,0.05,0.38,0.16,18,125,112,48,16,10,3,19
53,ZmjjKK EDG,Jett,71,1.03,238.7,1.24,0.72,144.4,0.87,0.15,0.23,0.15,0.21,0.2,25,62,50,11,16,11,1,5
54,Zellsis C9,Neon Phoenix Sage,89,1.03,198.0,0.94,0.75,138.3,0.65,0.42,0.08,0.16,0.19,0.13,14,58,62,37,7,14,1,8
55,Rb DRX,Astra Kayo Killjoy,276,1.02,191.6,1.06,0.73,126.6,0.68,0.28,0.09,0.08,0.23,0.31,22,187,177,77,24,23,12,39
56,zeek TH,Kayo Killjoy,42,1.02,220.5,1.0,0.71,146.4,0.76,0.33,0.07,0.17,0.36,0.29,18,32,32,14,3,7,2,7
57,tuyz LOUD,Harbor Brimstone Astra,380,1.02,171.2,0.93,0.73,113.2,0.63,0.41,0.04,0.04,0.3,0.17,25,238,257,156,16,15,9,54
58,heat MIBR,Raze Neon,45,1.02,250.0,1.03,0.67,164.4,0.82,0.22,0.18,0.22,0.32,,22,37,36,10,8,10,0,6
59,ANGE1 NAVI,Omen Cypher Sova,182,1.02,204.4,1.07,0.7,128.2,0.71,0.33,0.12,0.14,0.34,,27,130,122,60,22,26,0,8
60,Sushiboys TLN,Killjoy Astra,157,1.01,187.1,1.01,0.74,130.0,0.67,0.2,0.1,0.11,0.22,0.19,21,105,104,31,15,17,4,21
61,Monyet GES,Astra Omen,58,1.01,213.7,1.1,0.69,140.7,0.78,0.26,0.22,0.14,0.2,0.4,24,45,41,15,13,8,2,5
62,vanity C9,Omen Astra Killjoy,89,1.01,167.8,0.83,0.75,102.7,0.55,0.61,0.08,0.09,0.11,0.09,14,49,59,54,7,8,1,11
63,takej DFM,Viper,20,1.0,197.0,1.0,0.6,120.5,0.65,0.25,0.1,0.05,0.42,0.6,13,13,13,5,2,1,3,5
64,Cryocells 100T,Omen Raze Jett,175,1.0,219.3,1.01,0.71,137.5,0.75,0.31,0.13,0.18,0.18,,22,131,130,54,23,32,0,13
65,Asuna 100T,Sage Kayo Breach,175,0.99,200.4,0.87,0.76,132.0,0.67,0.43,0.06,0.1,0.24,0.2,20,118,135,76,10,17,3,15
66,bang 100T,Viper Astra Omen,175,0.99,200.1,0.98,0.69,134.5,0.74,0.34,0.13,0.12,0.39,0.05,23,129,131,59,22,21,1,21
67,stax DRX,Kayo Fade Breach,276,0.99,194.8,0.97,0.72,127.8,0.67,0.37,0.06,0.09,0.26,0.2,19,185,191,103,17,24,4,20
68,TenZ SEN,Jett Sage,39,0.98,183.5,0.96,0.62,122.4,0.67,0.21,0.13,0.15,0.23,0.5,14,26,27,8,5,6,3,6
69,Destrian VIT,Omen Astra Harbor,104,0.98,158.8,0.75,0.71,101.4,0.5,0.49,0.07,0.12,0.26,,13,52,69,51,7,12,0,11
70,Boostio EG,Killjoy,89,0.98,205.3,1.07,0.75,135.8,0.73,0.16,0.04,0.08,0.22,0.13,20,65,61,14,4,7,2,15
71,Fit1nho GIA,Jett Raze,97,0.98,203.4,1.04,0.71,140.2,0.74,0.19,0.18,0.14,0.25,,35,72,69,18,17,14,0,7
72,stellar 100T,Killjoy Cypher,175,0.97,190.5,1.03,0.7,134.4,0.7,0.24,0.06,0.1,0.2,0.13,25,123,119,42,10,17,3,24
73,Mazino LEV,Omen Astra Brimstone,125,0.97,185.7,1.0,0.66,112.8,0.66,0.41,0.07,0.1,0.3,0.25,21,82,82,51,9,13,2,8
74,C0M EG,Fade Sova Kayo,89,0.97,182.5,0.85,0.71,113.3,0.63,0.61,0.07,0.1,0.13,0.13,16,56,66,54,6,9,1,8
